,Words,Freq,Polarity,Subjectivity,Analysis
724,midst,1,0.0,0.0,Neutral
725,august,1,0.0,0.0,Neutral
726,christmas,1,0.0,0.0,Neutral
727,list,1,0.0,0.0,Neutral
728,nice,7,0.6,1.0,Positive
729,rejection,2,0.0,0.0,Neutral
730,crazy,9,-0.6,0.9,Negative
731,price,3,0.0,0.0,Neutral
732,ecstatic,1,0.0,0.0,Neutral
733,blew,1,0.0,0.0,Neutral
734,big,4,0.0,0.1,Neutral
735,manic,1,0.0,0.0,Neutral
736,proud,4,0.8,1.0,Positive
737,quite,2,0.0,0.0,Neutral
738,learned,14,0.0,0.0,Neutral
739,dinner,1,0.0,0.0,Neutral
740,hiding,1,0.0,0.0,Neutral
741,castle,3,0.0,0.0,Neutral
742,styrofoam,1,0.0,0.0,Neutral
743,either,4,0.0,0.0,Neutral
744,balance,4,0.0,0.0,Neutral
745,home,22,0.0,0.0,Neutral
746,drinking,1,0.0,0.0,Neutral
747,coffee,4,0.0,0.0,Neutral
748,playing,3,0.0,0.0,Neutral
749,battleground,1,0.0,0.0,Neutral
750,overwatch,1,0.0,0.0,Neutral
751,volume,1,0.0,0.0,Neutral
752,trippy,1,0.0,0.0,Neutral
753,fridge,1,0.0,0.0,Neutral
754,buzz,1,0.0,0.0,Neutral
755,bro,1,0.0,0.0,Neutral
756,buying,1,0.0,0.0,Neutral
757,designer,1,0.0,0.0,Neutral
758,flexing,1,0.0,0.0,Neutral
759,bitch,6,0.0,0.0,Neutral
760,brand,1,0.0,0.0,Neutral
761,coulda,1,0.0,0.0,Neutral
762,bought,3,0.0,0.0,Neutral
763,puppy,1,0.0,0.0,Neutral
764,220,1,0.0,0.0,Neutral
765,brew,1,0.0,0.0,Neutral
766,personal,1,0.0,0.3,Neutral
767,small,2,-0.25,0.4,Negative
768,decision,3,0.0,0.0,Neutral
769,brush,2,0.0,0.0,Neutral
770,teeth,3,0.0,0.0,Neutral
771,blah,1,0.0,0.0,Neutral
772,born,8,0.0,0.0,Neutral
773,messed,1,0.0,0.0,Neutral
774,century,1,0.0,0.0,Neutral
775,favourite,1,0.0,0.0,Neutral
776,flavoured,1,0.0,0.0,Neutral
777,sweet,16,0.35,0.65,Positive
778,raspberry,1,0.0,0.0,Neutral
779,amphetamine,1,0.0,0.0,Neutral
780,beretta,1,0.0,0.0,Neutral
781,aged,1,-0.1,0.4,Negative
782,sixteen,1,0.0,0.0,Neutral
783,bleach,1,0.0,0.0,Neutral
784,cavity,1,0.0,0.0,Neutral
785,daddy,2,0.0,0.0,Neutral
786,gun,57,0.0,0.0,Neutral
787,dead,13,-0.2,0.4,Negative
788,gaffer,1,0.0,0.0,Neutral
789,tape,1,0.0,0.0,Neutral
790,locked,2,0.0,0.0,Neutral
791,went,3,0.0,0.0,Neutral
792,garden,1,0.0,0.0,Neutral
793,people,24,0.0,0.0,Neutral
794,survive,3,0.0,0.0,Neutral
795,toaster,1,0.0,0.0,Neutral
796,bath,1,0.0,0.0,Neutral
797,mum,1,0.0,0.0,Neutral
798,volt,1,0.0,0.0,Neutral
799,son,9,0.0,0.0,Neutral
800,casual,1,-0.5000000000000001,0.8666666666666667,Negative
801,affection,2,0.0,0.0,Neutral
802,lead,1,0.0,0.0,Neutral
803,sexual,1,0.5,0.8333333333333334,Positive
804,infection,1,0.0,0.0,Neutral
805,erection,1,0.0,0.0,Neutral
806,teacher,1,0.0,0.0,Neutral
807,preacher,1,0.0,0.0,Neutral
808,wash,1,0.0,0.0,Neutral
809,sin,1,0.0,0.0,Neutral
810,male,1,0.0,0.1,Neutral
811,cheerleader,1,0.0,0.0,Neutral
812,hi,1,0.0,0.0,Neutral
813,breathing,3,0.0,0.0,Neutral
814,tick,2,0.0,0.0,Neutral
815,tock,2,0.0,0.0,Neutral
816,clock,2,0.0,0.0,Neutral
817,shot,8,0.0,0.0,Neutral
818,fix,10,0.0,0.0,Neutral
819,cigarette,14,0.0,0.0,Neutral
820,pill,5,0.0,0.0,Neutral
821,liquor,1,0.0,0.0,Neutral
822,ill,1,-0.5,1.0,Negative
823,warned,3,0.0,0.0,Neutral
824,melt,1,0.0,0.0,Neutral
825,heard,5,0.0,0.0,Neutral
826,million,6,0.0,0.0,Neutral
827,followed,2,0.0,0.0,Neutral
828,warning,2,0.0,0.0,Neutral
829,sign,6,0.0,0.0,Neutral
830,none,5,0.0,0.0,Neutral
831,front,5,0.0,0.0,Neutral
832,send,5,0.0,0.0,Neutral
833,er,2,0.0,0.0,Neutral
834,stitch,12,0.0,0.0,Neutral
835,missing,7,-0.2,0.05,Negative
836,distance,7,0.0,0.0,Neutral
837,headache,4,0.0,0.0,Neutral
838,symptom,4,0.0,0.0,Neutral
839,rare,4,0.3,0.9,Positive
840,case,4,0.0,0.0,Neutral
841,dreamt,2,0.0,0.0,Neutral
842,woke,1,0.0,0.0,Neutral
843,ton,1,0.0,0.0,Neutral
844,black,9,-0.16666666666666666,0.43333333333333335,Negative
845,blue,9,0.0,0.1,Neutral
846,bruised,1,0.0,0.0,Neutral
847,tropical,7,0.0,0.0,Neutral
848,tomb,1,0.0,0.0,Neutral
849,breathe,20,0.0,0.0,Neutral
850,sheet,8,0.0,0.0,Neutral
851,deep,33,0.0,0.4,Neutral
852,drowning,8,0.0,0.0,Neutral
853,surrounding,6,0.0,0.0,Neutral
854,lasso,1,0.0,0.0,Neutral
855,wearing,1,0.0,0.0,Neutral
856,swimming,2,0.0,0.0,Neutral
857,mine,15,0.0,0.0,Neutral
858,bullet,22,0.0,0.0,Neutral
859,roman,1,0.0,0.0,Neutral
860,king,3,0.0,0.0,Neutral
861,romulus,1,0.0,0.0,Neutral
862,precipice,1,0.0,0.0,Neutral
863,final,1,0.0,1.0,Neutral
864,appraise,1,0.0,0.0,Neutral
865,augustus,1,0.0,0.0,Neutral
866,nero,1,0.0,0.0,Neutral
867,takin,1,0.0,0.0,Neutral
868,bipolar,2,0.0,0.0,Neutral
869,yes,6,0.0,0.0,Neutral
870,promise,4,0.0,0.0,Neutral
871,pull,12,0.0,0.0,Neutral
872,trigger,2,0.0,0.0,Neutral
873,sweat,6,0.0,0.0,Neutral
874,devil,2,0.0,0.0,Neutral
875,deal,1,0.0,0.0,Neutral
876,wear,1,0.0,0.0,Neutral
877,crown,1,0.0,0.0,Neutral
878,rise,4,0.0,0.0,Neutral
879,voice,3,0.0,0.0,Neutral
880,unheard,1,0.0,0.0,Neutral
881,lesson,12,0.0,0.0,Neutral
882,artist,1,0.0,0.0,Neutral
883,insane,1,-1.0,1.0,Negative
884,fame,3,0.0,0.0,Neutral
885,wealth,1,0.0,0.0,Neutral
886,sellout,3,0.0,0.0,Neutral
887,goodbye,25,0.0,0.0,Neutral
888,rocket,2,0.0,0.0,Neutral
889,losin,3,0.0,0.0,Neutral
890,keepin,1,0.0,0.0,Neutral
891,smoke,4,0.0,0.0,Neutral
892,burnin,1,0.0,0.0,Neutral
893,learnin,1,0.0,0.0,Neutral
894,4x,1,0.0,0.0,Neutral
895,fixed,29,0.1,0.2,Positive
896,shipwreck,1,0.0,0.0,Neutral
897,stopped,1,0.0,0.0,Neutral
898,anywhere,5,0.0,0.0,Neutral
899,storm,2,0.0,0.0,Neutral
900,took,8,0.0,0.0,Neutral
901,anytime,2,0.0,0.0,Neutral
902,apart,4,0.0,0.0,Neutral
903,undone,3,0.0,0.0,Neutral
904,stone,6,0.0,0.0,Neutral
905,calling,15,0.0,0.0,Neutral
906,ocean,6,0.0,0.0,Neutral
907,ghost,9,0.0,0.0,Neutral
908,hooked,1,0.0,0.0,Neutral
909,chained,1,0.0,0.0,Neutral
910,standing,11,0.0,0.0,Neutral
911,cliff,4,0.0,0.0,Neutral
912,kick,4,0.0,0.0,Neutral
913,live,13,0.13636363636363635,0.5,Positive
914,whatever,14,0.0,0.0,Neutral
915,falling,19,0.0,0.0,Neutral
916,fast,7,0.2,0.6,Positive
917,prepare,1,0.0,0.0,Neutral
918,tripping,4,0.0,0.0,Neutral
919,circling,1,0.0,0.0,Neutral
920,vulturous,1,0.0,0.0,Neutral
921,negative,1,-0.3,0.4,Negative
922,nepotist,1,0.0,0.0,Neutral
923,man,14,0.0,0.0,Neutral
924,racehorse,2,0.0,0.0,Neutral
925,ripcord,2,0.0,0.0,Neutral
926,build,7,0.0,0.0,Neutral
927,slip,6,0.0,0.0,Neutral
928,upon,3,0.0,0.0,Neutral
929,lip,13,0.0,0.0,Neutral
930,letter,2,0.0,0.0,Neutral
931,rip,5,0.0,0.0,Neutral
932,adrenaline,7,0.0,0.0,Neutral
933,vein,12,0.0,0.0,Neutral
934,typical,1,-0.16666666666666666,0.5,Negative
935,miserable,1,-1.0,1.0,Negative
936,hanging,7,0.0,0.0,Neutral
937,visual,1,0.0,0.0,Neutral
938,invisible,1,0.0,0.0,Neutral
939,martyrdom,1,0.0,0.0,Neutral
940,prodigal,1,0.0,0.0,Neutral
941,hypocritical,1,0.0,0.0,Neutral
942,egotistical,1,0.0,0.0,Neutral
943,parenthetical,1,0.0,0.0,Neutral
944,hypothetical,1,0.0,0.0,Neutral
945,epoxy,1,0.0,0.0,Neutral
946,apostrophe,1,0.0,0.0,Neutral
947,symbol,1,0.0,0.0,Neutral
948,remind,6,0.0,0.0,Neutral
949,product,1,0.0,0.0,Neutral
950,system,1,0.0,0.0,Neutral
951,yet,5,0.0,0.0,Neutral
952,masterpiece,1,0.0,0.0,Neutral
953,half,6,-0.16666666666666666,0.16666666666666666,Negative
954,diseased,1,-0.6,0.75,Negative
955,deceased,1,0.0,0.0,Neutral
956,least,2,-0.3,0.4,Negative
957,grave,1,0.0,0.0,Neutral
958,happily,1,0.8,1.0,Positive
959,thee,1,0.0,0.0,Neutral
960,ophelia,9,0.0,0.0,Neutral
961,ah,44,0.0,0.0,Neutral
962,younger,1,0.0,0.0,Neutral
963,remorse,2,0.0,0.0,Neutral
964,girlfriend,2,0.0,0.0,Neutral
965,blinder,1,0.0,0.0,Neutral
966,since,5,0.0,0.0,Neutral
967,heaven,10,0.0,0.0,Neutral
968,fool,17,0.0,0.0,Neutral
969,paycheck,1,0.0,0.0,Neutral
970,honey,7,0.0,0.0,Neutral
971,wrote,3,0.0,0.0,Neutral
972,colour,2,0.0,0.0,Neutral
973,cheek,1,0.0,0.0,Neutral
974,shift,1,0.0,0.0,Neutral
975,stick,4,0.0,0.0,Neutral
976,summat,1,0.0,0.0,Neutral
977,ace,1,0.0,0.0,Neutral
978,sleeve,1,0.0,0.0,Neutral
979,idea,1,0.0,0.0,Neutral
980,nearly,1,0.1,0.4,Positive
981,week,4,0.0,0.0,Neutral
982,secret,6,-0.4,0.7,Negative
