,endTime,artistName,trackName,msPlayed
2152,2021-08-23 10:53,The Score,On And On,215497
2153,2021-08-23 10:56,The Score,On And On,170436
2154,2021-08-23 10:56,The Score,Unstoppable - Rebel Remix,941
2155,2021-08-23 10:57,The Score,Oh My Love,98180
2156,2021-08-23 11:01,The Score,Livin Right,13213
2157,2021-08-23 11:01,The Score,Something New,680
2158,2021-08-23 11:01,The Score,Where Do You Run,14909
2159,2021-08-23 11:26,The Score,Top Of The World,125383
2160,2021-08-23 11:48,The Score,Top Of The World,24692
2161,2021-08-23 11:48,Vishal-Shekhar,Dil Diyan Gallan,7695
2162,2021-08-23 12:02,Adnan Sami,Bhar Do Jholi Meri,423331
2163,2021-08-23 12:02,Shankar-Ehsaan-Loy,Mera Yaar,0
2164,2021-08-23 12:02,KK,Tu Jo Mila,396490
2165,2021-08-23 12:13,Jabbar Abbas,Dam Mast Qalandar,116348
2166,2021-08-23 14:49,Adnan Sami,Bhar Do Jholi Meri,415832
2167,2021-08-23 14:52,The Cab,Lock Me Up,209626
2168,2021-08-23 14:56,The Cab,Moon,196720
2169,2021-08-23 15:00,The Cab,Numbers,249066
2170,2021-08-23 15:12,The Cab,Stand Up,501035
2171,2021-08-23 15:15,The Cab,These Are The Lies,226426
2172,2021-08-23 15:18,The Cab,Lock Me Up,157115
2173,2021-08-23 15:21,The Score,Can You Hear Me Now,194235
2174,2021-08-23 15:23,The Score,All Of Me (feat. Travis Barker),97094
2175,2021-08-23 15:27,Coldplay,Hymn for the Weekend,258266
2176,2021-08-23 15:31,Nick Jonas,Jealous,223106
2177,2021-08-23 15:34,Why Don't We,Talk,190346
2178,2021-08-23 15:36,vaultboy,everything sucks (feat. Eric Nam),119744
2179,2021-08-23 15:39,The Score,Money Run Low,185466
2180,2021-08-23 15:43,Sam Smith,Diamonds,213869
2181,2021-08-23 15:46,James Bay,Peer Pressure,176826
2182,2021-08-23 15:50,Eurythmics,Sweet Dreams (Are Made of This) - Remastered,216933
2183,2021-08-23 15:52,OneRepublic,Run,169010
2184,2021-08-23 15:56,*NSYNC,Bye Bye Bye,200400
2185,2021-08-23 15:59,The Score,Top Of The World,172540
